Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_por_mes;Valor_por_ano;Descricao;Possui_suite
Quitinete;Centro;1;0;0;36;900.0;325.0;0.0;1225.0;14700.0;Quitinete em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Glória;1;0;0;50;950.0;570.0;67.0;1520.0;18307.0;Apartamento em Glória com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Praça Seca;1;1;0;45;650.0;370.0;140.0;1020.0;12380.0;Apartamento em Praça Seca com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Apartamento;Higienópolis;1;0;1;37;900.0;308.0;0.0;1208.0;14496.0;Apartamento em Higienópolis com 1 quarto(s)\ e 0 vaga(s) de garagem;Sim
Apartamento;Centro;1;0;0;34;1000.0;450.0;21.0;1450.0;17421.0;Apartamento em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Tijuca;1;0;0;35;800.0;420.0;0.0;1220.0;14640.0;Apartamento em Tijuca com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Freguesia (Jacarepaguá);1;1;0;50;1050.0;590.0;37.0;1640.0;19717.0;Apartamento em Freguesia (Jacarepaguá) com 1 quarto(s)\ e 1 vaga(s) de garagem;Não
Apartamento;Centro;1;0;0;45;1100.0;400.0;0.0;1500.0;18000.0;Apartamento em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Laranjeiras;1;0;0;24;1000.0;456.0;29.0;1456.0;17501.0;Quitinete em Laranjeiras com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Centro;1;0;0;30;800.0;390.0;0.0;1190.0;14280.0;Quitinete em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Cidade Nova;1;0;0;37;800.0;214.0;14.0;1014.0;12182.0;Apartamento em Cidade Nova com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Estácio;1;0;0;21;550.0;200.0;0.0;750.0;9000.0;Quitinete em Estácio com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Lapa;1;0;0;32;1100.0;380.0;0.0;1480.0;17760.0;Apartamento em Lapa com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Quitinete;Centro;1;0;0;31;1000.0;465.0;106.0;1465.0;17686.0;Quitinete em Centro com 1 quarto(s)\ e 0 vaga(s) de garagem;Não
Apartamento;Caju;1;0;1;45;850.0;230.0;0.0;1080.0;12960.0;Apartamento em Caju com 1 quarto(s)\ e 0 vaga(s) de garagem;Sim
Apartamento;Glória;1;0;1;45;1200.0;515.0;0.0;1715.0;20580.0;Apartamento em Glória com 1 quarto(s)\ e 0 vaga(s) de garagem;Sim
Apartamento;Glória;1;0;1;40;1150.0;520.0;0.0;1670.0;20040.0;Apartamento em Glória com 1 quarto(s)\ e 0 vaga(s) de garagem;Sim
